Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Mnemosyne: Mnemosyne no Musume-tachi,7.32,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural",TV,6,"Feb 4, 2008 to Jul 7, 2008",Winter 2008,"VAP, Sotsu, Genco, AT-X, Showgate",Funimation,Xebec,Original,45 min. per ep.,R+ - Mild Nudity,2258.0,971,152677,1036,7851,76491,4638
Mikan Enikki,7.19,"Slice of Life, Comedy, Romance, Shoujo",TV,30,"Oct 16, 1992 to Jun 18, 1993",Fall 1992,Unknown,Unknown,Nippon Animation,Manga,23 min. per ep.,G - All Ages,2830.0,8563,2219,22,138,822,133
Kiddy GiRL-AND,6.88,"Action, Comedy, Sci-Fi, Super Power",TV,24,"Oct 16, 2009 to Mar 26, 2010",Fall 2009,"Kadokawa Shoten, gimik",Funimation,Satelight,Original,25 min. per ep.,PG-13 - Teens 13 or older,4125.0,4022,16271,43,975,7067,1121
Fortune Dogs,6.46,Adventure,TV,39,"Jul 4, 2002 to Mar 29, 2003",Summer 2002,Unknown,Unknown,Vega Entertainment,Original,25 min. per ep.,Unknown,6088.0,10808,850,7,40,250,77
Mahoutsukai Sally,6.41,"Magic, Fantasy, School, Shoujo",TV,109,"Dec 5, 1966 to Dec 30, 1968",Winter 1967,Unknown,Unknown,Toei Animation,Manga,30 min. per ep.,G - All Ages,6368.0,7892,2923,8,153,970,278
Kure-nai,7.38,"Comedy, Drama, Martial Arts",TV,12,"Apr 4, 2008 to Jun 20, 2008",Spring 2008,"Yomiko Advertising, Pony Canyon, Half H.P Studio, Shueisha",Sentai Filmworks,Brain's Base,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,1979.0,1655,80419,236,3274,42966,2469
Amatsuki,6.92,"Action, Demons, Fantasy, Historical, Shoujo, Supernatural",TV,13,"Apr 5, 2008 to Jun 28, 2008",Spring 2008,"Frontier Works, Sotsu",Unknown,Studio Deen,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3910.0,2190,52716,141,2718,30131,3239
UFO Senshi Dai Apolon,6.13,"Action, Sci-Fi, Mecha",TV,26,"Apr 6, 1976 to Sep 28, 1976",Spring 1976,TBS,Unknown,"Eiken, Studio Live",Original,24 min. per ep.,PG-13 - Teens 13 or older,7683.0,11105,759,3,52,269,104
Oshare Majo Love and Berry: Shiawase no Mahou,6.51,Magic,Movie,1,"Mar 21, 2007",Unknown,Sega,Unknown,TMS Entertainment,Game,51 min.,PG - Children,11403.0,11498,648,0,29,108,45
RD Sennou Chousashitsu,7.13,"Action, Sci-Fi",TV,26,"Apr 9, 2008 to Oct 1, 2008",Spring 2008,"VAP, Nippon Television Network, D.N. Dream Partners",Unknown,Production I.G,Original,22 min. per ep.,R - 17+ (violence & profanity),3087.0,3410,23004,46,1586,5489,2029
Persona: Trinity Soul,6.58,"Action, Sci-Fi, Super Power",TV,26,"Jan 5, 2008 to Jun 28, 2008",Winter 2008,Aniplex,"NIS America, Inc.",A-1 Pictures,Original,23 min. per ep.,PG-13 - Teens 13 or older,5500.0,1813,70473,175,4398,25020,5769
Furusato Japan,6.77,Historical,Movie,1,"Apr 7, 2007",Unknown,WAO World,Unknown,Unknown,Original,1 hr. 36 min.,G - All Ages,4587.0,8581,2215,2,64,931,45
Shoubushi Densetsu Tetsuya,7.52,"Game, Historical, Shounen",TV,20,"Oct 7, 2000 to Mar 24, 2001",Fall 2000,"TV Asahi, Toei Video",Unknown,Toei Animation,Manga,23 min. per ep.,R - 17+ (violence & profanity),1534.0,5623,7149,31,359,3080,210
RGB Adventure,6.51,Adventure,TV,6,"Nov 19, 2006 to Dec 24, 2006",Fall 2006,Unknown,Unknown,Unknown,Unknown,20 min. per ep.,G - All Ages,11691.0,14288,237,0,16,61,53
Majokko Megu-chan,6.65,"Magic, Shoujo",TV,72,"Apr 1, 1974 to Sep 29, 1975",Spring 1974,Unknown,Unknown,Toei Animation,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,5142.0,8417,2384,9,133,757,175
Bus Gamer,6.54,Action,TV,3,"Mar 14, 2008 to Mar 29, 2008",Winter 2008,"Frontier Works, Sotsu, Studio Izena",Unknown,Anpro,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5662.0,3277,25017,44,431,18517,627
Maicching Machiko-sensei,6.22,"Comedy, Ecchi, School",TV,95,"Oct 8, 1981 to Oct 6, 1983",Fall 1981,TV Tokyo,Unknown,Studio Pierrot,Manga,25 min. per ep.,R+ - Mild Nudity,7263.0,8150,2636,9,266,303,316
Rokushin Gattai GodMars,6.28,"Action, Mecha, Sci-Fi, Space",TV,64,"Oct 2, 1981 to Dec 24, 1982",Fall 1981,Unknown,Discotek Media,Tokyo Movie Shinsha,Unknown,24 min. per ep.,PG-13 - Teens 13 or older,7005.0,8985,1896,1,140,459,151
Blassreiter,6.94,"Action, Sci-Fi",TV,24,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,"Nitroplus, Sotsu Music Publishing",Funimation,Gonzo,Original,23 min. per ep.,R - 17+ (violence & profanity),3833.0,1752,74743,236,3791,32154,6297
Hula Kappa,6.51,Comedy,TV,78,"Apr 1, 2006 to Dec 21, 2006",Spring 2006,Unknown,Unknown,Unknown,Original,3 min. per ep.,G - All Ages,14511.0,13636,284,1,20,82,68
