Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Peter Grill to Kenja no Jikan,5.51,"Harem, Comedy, Ecchi, Fantasy",TV,12,"Jul 11, 2020 to Sep 26, 2020",Summer 2020,Unknown,Sentai Filmworks,Wolfsbane,Manga,12 min. per ep.,R+ - Mild Nudity,9670.0,1288,111211,897,19205,44504,13333
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.49,"Action, Adventure, Comedy, Romance, Fantasy",TV,12,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,"Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative",Sentai Filmworks,J.C.Staff,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1610.0,469,298231,1678,56903,132998,4974
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.72,"Action, Historical, Demons, Supernatural, Shounen",Movie,1,"Oct 16, 2020",Unknown,"Aniplex, Shueisha",Aniplex of America,ufotable,Manga,1 hr. 57 min.,R - 17+ (violence & profanity),40.0,398,341006,4034,9994,41603,378
Chou Futsuu Toshi Kashiwa Densetsu R,4.47,"Comedy, Fantasy",TV,10,"Jul 6, 2020 to Sep 28, 2020",Summer 2020,Unknown,Unknown,Super Normal Studio,Other,5 min. per ep.,Unknown,10929.0,7244,3770,3,263,397,479
Murenase! Seton Gakuen,7.08,"Comedy, School",TV,12,"Jan 7, 2020 to Mar 24, 2020",Winter 2020,"Animax, Tokyo MX, Cygames, Legs, Happinet",Unknown,Studio Gokumi,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3297.0,1179,125231,477,13505,74782,6081
Eily wa Ou-sama!,6.51,"Comedy, Magic, Fantasy",TV,10,"Oct 8, 2019 to Dec 10, 2019",Fall 2019,Unknown,Unknown,Unknown,Original,Unknown,G - All Ages,13893.0,14007,259,0,30,25,84
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",7.34,"Action, Demons, Magic, Fantasy, School",TV,13,"Jul 4, 2020 to Sep 26, 2020",Summer 2020,"Aniplex, Kadokawa",Aniplex of America,SILVER LINK.,Light novel,23 min. per ep.,R - 17+ (violence & profanity),2177.0,377,356060,3057,48873,236529,9563
Mahouka Koukou no Rettousei: Raihousha-hen,7.31,"Action, Sci-Fi, Supernatural, Magic, Romance, School",TV,13,"Oct 4, 2020 to Dec 27, 2020",Fall 2020,"Aniplex, Square Enix, Movic, Studio Mausu, Straight Edge, Kadokawa",Aniplex of America,8bit,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,2310.0,742,197342,1209,40057,76107,4668
Major 2nd (TV) 2nd Season,7.6,"Comedy, Sports, Drama, Shounen",TV,25,"Apr 4, 2020 to Nov 7, 2020",Spring 2020,Unknown,Unknown,OLM,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1272.0,4376,13317,70,3042,5440,326
Shadowverse (TV),5.09,"Game, Fantasy",TV,Unknown,"Apr 7, 2020 to ?",Spring 2020,"TV Tokyo, Sonilude",Unknown,Zexcs,Card game,24 min.,PG - Children,10501.0,4901,10041,26,3697,1,2322
Nami yo Kiitekure,7.37,"Comedy, Drama, Romance, Seinen",TV,12,"Apr 4, 2020 to Jun 20, 2020",Spring 2020,"Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",Funimation,Sunrise,Manga,24 min. per ep.,R - 17+ (violence & profanity),2033.0,2052,58063,99,6921,22378,4517
No Guns Life 2nd Season,7.05,"Action, Sci-Fi, Drama, Seinen",TV,12,"Jul 10, 2020 to Sep 25, 2020",Summer 2020,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",Funimation,Madhouse,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3434.0,2111,55681,60,6190,22028,1673
Jaku-Chara Tomozaki-kun,7.01,"Drama, Romance, School",TV,12,"Jan 8, 2021 to ?",Winter 2021,"Pony Canyon, APDREAM, Bit grooove promotion, Dream Shift",Funimation,Project No.9,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,3614.0,1227,120047,932,70206,21,3955
Appare-Ranman!,7.33,"Cars, Comedy, Historical",TV,13,"Apr 10, 2020 to Sep 25, 2020",Spring 2020,"Lantis, AT-X, Docomo Anime Store, Sammy, Kadokawa Media House, Kadokawa, Bandai Namco Arts, Bit Promotion",Funimation,P.A. Works,Original,23 min. per ep.,PG-13 - Teens 13 or older,2185.0,1531,89963,360,14085,32245,5333
Sword Art Online: Alicization - War of Underworld 2nd Season,7.42,"Action, Game, Adventure, Romance, Fantasy",TV,11,"Jul 12, 2020 to Sep 20, 2020",Summer 2020,"Aniplex, Bandai Namco Entertainment, Egg Firm, Straight Edge, Kadokawa",Aniplex of America,A-1 Pictures,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1847.0,437,320775,3140,35168,201021,5384
Assault Lily: Bouquet,6.46,"Action, Magic, Fantasy",TV,12,"Oct 2, 2020 to Dec 25, 2020",Fall 2020,Unknown,Funimation,Shaft,Other,24 min. per ep.,PG-13 - Teens 13 or older,6078.0,2178,53164,267,9392,15541,5685
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",6.51,"Action, Military, Sci-Fi, Space, Drama",Movie,1,Unknown,Unknown,Unknown,Unknown,Unknown,Original,Unknown,PG-13 - Teens 13 or older,13153.0,8371,2401,6,11,28,6
Majo no Tabitabi,7.57,"Adventure, Magic, Fantasy",TV,12,"Oct 2, 2020 to Dec 18, 2020",Fall 2020,"Lantis, Movic, AT-X, Kadokawa Media House, Kadokawa, SB Creative",Funimation,C2C,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1376.0,743,199299,1819,38728,83078,7332
Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,6.97,"Action, Fantasy, Magic, Shoujo",Movie,1,"Oct 31, 2020",Unknown,Unknown,Unknown,Unknown,Original,1 hr. 10 min.,G - All Ages,3732.0,9677,1439,4,28,286,28
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.74,"Comedy, Psychological, Romance, School, Seinen",TV,12,"Apr 11, 2020 to Jun 27, 2020",Spring 2020,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,33.0,151,654744,14682,74635,443172,4344
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,6.75,"Adventure, Fantasy",TV,12,"Jan 4, 2021 to ?",Winter 2021,"AT-X, NBCUniversal Entertainment Japan, Sammy, BS11, JR East Marketing & Communications, GREE, SB Creative, Tapioca",Funimation,LIDENFILMS,Light novel,24 min. per ep.,Unknown,4663.0,1291,111812,622,75168,11,4907
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.54,"Action, Military, Romance, Fantasy",TV,12,"Oct 7, 2020 to Dec 23, 2020",Fall 2020,"Pony Canyon, Bit grooove promotion",Funimation,SILVER LINK.,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,5680.0,1016,146308,948,29196,59565,9183
Healin' Good♡Precure,6.88,"Action, Magic, Fantasy, Shoujo",TV,45,"Feb 2, 2020 to Feb 21, 2021",Winter 2020,"Asatsu DK, Asahi Broadcasting, ABC Animation",Unknown,Toei Animation,Original,24 min. per ep.,G - All Ages,4091.0,5931,6240,49,2412,433,478
Umibe no Étranger,6.51,"Slice of Life, Romance, Shounen Ai",Movie,1,"Sep 11, 2020",Unknown,"Shochiku, Half H.P Studio",Unknown,Studio Hibari,Manga,59 min.,Unknown,12716.0,3412,22968,93,538,150,52
Dokyuu Hentai HxEros,5.74,"Action, Comedy, Supernatural, Ecchi, School, Shounen",TV,12,"Jul 4, 2020 to Sep 26, 2020",Summer 2020,Studio Mausu,Aniplex of America,Project No.9,Manga,23 min. per ep.,R+ - Mild Nudity,9046.0,1693,78428,178,14118,25489,10236
Yes ka No ka Hanbun ka,7.34,"Drama, Shounen Ai",Movie,1,"Dec 11, 2020",Unknown,Unknown,Unknown,Lesprit,Light novel,53 min.,Unknown,2182.0,4388,13204,72,318,2882,31
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,6.51,"Music, School",Movie,1,"Aug 7, 2020",Unknown,Bushiroad,Unknown,Kinema Citrus,Original,2 hr.,PG-13 - Teens 13 or older,12054.0,8237,2542,6,72,93,33
Argonavis from BanG Dream!,6.76,Music,TV,13,"Apr 11, 2020 to Jul 4, 2020",Spring 2020,Bushiroad,Unknown,SANZIGEN,Original,24 min. per ep.,PG-13 - Teens 13 or older,4609.0,5453,7721,73,893,2249,524
2.43: Seiin Koukou Danshi Volley-bu,6.41,"Slice of Life, Sports, Drama, School",TV,12,"Jan 8, 2021 to ?",Winter 2021,"Aniplex, Dentsu, Animax, Movic, Fuji TV, Fujipacific Music, Shueisha, Fuji Creative, Tohan Corporation, Japan Volleyball Association",Funimation,David Production,Novel,23 min. per ep.,PG-13 - Teens 13 or older,6365.0,1951,63008,267,35186,14,4322
Kingdom 3rd Season,8.4,"Action, Historical, Military, Seinen",TV,Unknown,"Apr 6, 2020 to ?",Spring 2020,"NHK, Shueisha",Funimation,Studio Signpost,Manga,25 min.,R - 17+ (violence & profanity),157.0,2579,39329,443,15360,5,663
Monster Musume no Oishasan,6.51,"Comedy, Romance, Ecchi, Fantasy",TV,12,"Jul 12, 2020 to Sep 27, 2020",Summer 2020,"Magic Capsule, Hakuhodo DY Music & Pictures, Bandai Namco Arts",Unknown,Arvo Animation,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,5871.0,1260,114585,293,18071,54007,10302
Youkai Watch Jam: Youkai Gakuen Y - N to no Souguu,6.28,"Comedy, Demons, Kids, Supernatural, School",TV,Unknown,"Dec 27, 2019 to ?",Winter 2020,Unknown,Unknown,OLM,Game,24 min.,Unknown,7006.0,10776,875,3,211,1,96
Kakushigoto (TV),8.02,"Slice of Life, Comedy, Shounen",TV,12,"Apr 2, 2020 to Jun 18, 2020",Spring 2020,"Dentsu, Marvelous, Kodansha, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, A-Sketch, GREE",Funimation,Ajia-Do,Manga,23 min. per ep.,PG-13 - Teens 13 or older,514.0,747,197585,1336,25987,90983,6612
Natsunagu!,5.84,"Drama, Slice of Life",TV,12,"Jan 7, 2020 to Mar 24, 2020",Winter 2020,Unknown,Unknown,IMAGICA Lab.,Original,4 min. per ep.,PG-13 - Teens 13 or older,8713.0,3684,19716,17,1582,6561,1905
Overflow,6.76,"Ecchi, Romance",TV,8,"Jan 6, 2020 to Feb 24, 2020",Winter 2020,"Studio Mausu, Suiseisha",Unknown,Studio Hokiboshi,Manga,7 min. per ep.,R+ - Mild Nudity,4640.0,2034,59322,481,5093,32931,2466
Dounika Naru Hibi,5.5,"Slice of Life, Drama, Romance, Shoujo Ai, Shounen Ai",Movie,1,"Oct 23, 2020",Unknown,Unknown,Unknown,LIDENFILMS,Manga,54 min.,PG-13 - Teens 13 or older,9689.0,4859,10220,15,288,2514,104
Jujutsu Kaisen (TV),8.54,"Action, Demons, Supernatural, School, Shounen",TV,24,"Oct 3, 2020 to ?",Fall 2020,"TOHO animation, Shueisha, dugout",Unknown,MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity),88.0,130,707976,20816,533016,299,5177
Kaifuku Jutsushi no Yarinaoshi,6.22,"Ecchi, Fantasy",TV,12,"Jan 13, 2021 to Apr 1, 2021",Winter 2021,"Lantis, AT-X, Glovision, Docomo Anime Store, Kadokawa Media House, Kadokawa, Bandai Namco Arts",Sentai Filmworks,TNK,Light novel,24 min. per ep.,R+ - Mild Nudity,7256.0,665,222096,2815,145187,77,11839
Hulaing Babies Petit,6.51,"Slice of Life, Comedy",TV,12,"Jan 8, 2020 to Mar 25, 2020",Winter 2020,Unknown,Unknown,Gaina,Original,1 min. per ep.,PG-13 - Teens 13 or older,14515.0,11285,702,0,50,96,85
Show By Rock!! Mashumairesh!!,6.91,"Music, Comedy",TV,12,"Jan 9, 2020 to Mar 26, 2020",Winter 2020,"Dentsu, Sotsu, Pony Canyon, Sanrio, KlockWorx, Polygon Pictures, 81 Produce, Tokyo MX, Hokkaido Cultural Broadcasting, Sammy, FuRyu, Sony Music Solutions",Funimation,Kinema Citrus,Game,23 min. per ep.,PG-13 - Teens 13 or older,3973.0,4971,9700,38,872,3235,705
Haikyuu!!: To the Top 2nd Season,8.57,"Comedy, Sports, Drama, School, Shounen",TV,12,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Unknown,Production I.G,Manga,23 min. per ep.,PG-13 - Teens 13 or older,79.0,375,355906,4333,66566,194898,1942
"Shachou, Battle no Jikan Desu!",5.87,"Action, Adventure, Fantasy",TV,12,"Apr 5, 2020 to Jun 28, 2020",Spring 2020,"Half H.P Studio, Nippon Columbia",Funimation,C2C,Game,23 min. per ep.,PG-13 - Teens 13 or older,8609.0,3222,25893,26,3235,9931,4355
Skate-Leading☆Stars,6.4,"Comedy, Sports, Drama, School",TV,12,"Jan 10, 2021 to Mar 14, 2021",Winter 2021,Unknown,Funimation,J.C.Staff,Original,23 min. per ep.,PG-13 - Teens 13 or older,6425.0,3561,21185,92,9785,7,1417
Josee to Tora to Sakana-tachi,7.44,"Slice of Life, Drama, Romance",Movie,1,"Dec 25, 2020",Unknown,"Shochiku, Kadokawa, Sonilude",Unknown,Bones,Novel,1 hr. 38 min.,Unknown,1769.0,2156,53677,216,1755,316,54
Hypnosis Mic: Division Rap Battle - Rhyme Anima,6.75,"Action, Sci-Fi, Music",TV,13,"Oct 3, 2020 to Dec 26, 2020",Fall 2020,"Aniplex, Half H.P Studio, Evil Line Records",Aniplex of America,A-1 Pictures,Other,24 min. per ep.,R - 17+ (violence & profanity),4690.0,2803,33519,420,6410,8378,3537
Seitokai Yakuindomo Movie 2,6.51,"Comedy, School, Shounen, Slice of Life",Movie,1,"Jan 1, 2021",Unknown,"Glovision, King Records",Unknown,GoHands,4-koma manga,Unknown,R - 17+ (violence & profanity),11869.0,4081,15699,26,410,201,29
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.16,"Slice of Life, Fantasy",TV,12,"Apr 5, 2020 to Jun 21, 2020",Spring 2020,"WOWOW, Genco, MediaNet, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, ABC Animation, Happinet, Tokyo Animator Gakuin, TO Books, JTB Next Creation",Crunchyroll,Ajia-Do,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,350.0,1402,100076,483,10252,68386,1130
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,6.96,"Slice of Life, Comedy",TV,24,"Oct 3, 2020 to ?",Fall 2020,"Half H.P Studio, studioGONG",Unknown,Team TillDawn,Manga,1 min. per ep.,G - All Ages,3778.0,5238,8546,28,5546,4,587
"Kanojo, Okarishimasu",7.37,"Comedy, Romance, School, Shounen",TV,12,"Jul 11, 2020 to Sep 26, 2020",Summer 2020,"Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",Unknown,TMS Entertainment,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2025.0,291,442452,5622,54040,289037,15709
Idoly Pride,6.79,Music,TV,12,"Jan 10, 2021 to ?",Winter 2021,"Half H.P Studio, F.M.F, Wicky.Records",Funimation,Lerche,Original,23 min. per ep.,Unknown,4489.0,4224,14564,95,6240,6,718
Breakers,6.35,Sports,TV,16,"Jan 7, 2020 to May 26, 2020",Winter 2020,"NHK, NHK Enterprises",Unknown,Albacrow,Original,8 min. per ep.,PG-13 - Teens 13 or older,6621.0,5351,8021,9,1126,2158,1369
Dr. Stone: Stone Wars,8.29,"Sci-Fi, Adventure, Shounen",TV,11,"Jan 14, 2021 to ?",Winter 2021,"TOHO animation, Shueisha",Funimation,TMS Entertainment,Manga,24 min. per ep.,PG-13 - Teens 13 or older,229.0,325,414084,4520,229258,65,1238
Stand By Me Doraemon 2,6.51,"Sci-Fi, Comedy, Kids, Seinen",Movie,1,"Nov 20, 2020",Unknown,"Dentsu, TV Asahi, Toho, Shueisha, Nagoya Broadcasting Network, Asahi Broadcasting, Shogakukan, Abe Shuuji Jimusho, Shizuoka Asahi Television",Unknown,"Shirogumi, Shin-Ei Animation",Manga,Unknown,PG - Children,12236.0,7760,3070,21,65,174,21
BanG Dream! Garupa☆Pico: Oomori,7.63,"Music, Comedy",TV,26,"May 7, 2020 to Oct 29, 2020",Spring 2020,Cloud22,Unknown,SANZIGEN,Manga,3 min. per ep.,PG-13 - Teens 13 or older,1197.0,6157,5734,46,1065,2871,122
Psycho-Pass 3: First Inspector,7.88,"Action, Sci-Fi, Police, Psychological",Movie,3,"Mar 27, 2020",Unknown,"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, MAGNET",Unknown,Production I.G,Original,46 min. per ep.,R - 17+ (violence & profanity),698.0,2235,51306,108,1727,26403,267
Love Live! Nijigasaki Gakuen School Idol Doukoukai,7.62,"Music, Slice of Life, School",TV,13,"Oct 3, 2020 to Dec 26, 2020",Fall 2020,"Bushiroad, Kadokawa, Bandai Namco Arts",Funimation,Sunrise,Other,24 min. per ep.,PG-13 - Teens 13 or older,1220.0,2544,39832,699,7576,13467,1313
Kiratto Pri☆chan Season 3,6.51,"Music, Slice of Life, Comedy, Magic, Shoujo",TV,Unknown,"Apr 5, 2020 to ?",Spring 2020,syn Sophia,Unknown,Tatsunoko Production,Game,24 min.,PG - Children,5867.0,10269,1102,3,308,0,104
Pokemon Movie 23: Coco,6.51,"Action, Game, Adventure, Comedy, Kids, Fantasy",Movie,1,"Dec 25, 2020",Unknown,"TV Tokyo, Shogakukan-Shueisha Productions, JR East Marketing & Communications",Unknown,OLM,Game,Unknown,PG - Children,11558.0,5318,8116,13,89,221,21
Gundam: G no Reconguista Movie II - Bellri Gekishin,6.17,"Action, Sci-Fi, Space, Mecha",Movie,1,"Feb 21, 2020",Unknown,Unknown,Unknown,Sunrise,Original,Unknown,PG-13 - Teens 13 or older,7507.0,11134,756,0,30,206,40
Komatta Jiisan,6.42,"Adventure, Slice of Life, Comedy, Drama, Romance, Seinen",TV,13,"Apr 8, 2020 to Jul 1, 2020",Spring 2020,Unknown,Unknown,Kachidoki Studio,Manga,1 min. per ep.,Unknown,6315.0,7604,3286,5,331,1502,226
Marulk-chan no Nichijou,6.77,"Adventure, Fantasy",Movie,4,"Jan 17, 2020 to Feb 7, 2020",Unknown,Unknown,Unknown,Kinema Citrus,Manga,3 min. per ep.,PG-13 - Teens 13 or older,4603.0,4330,13586,8,746,5260,145
Shokugeki no Souma: Gou no Sara,7.35,"Ecchi, School, Shounen",TV,13,"Apr 11, 2020 to Sep 26, 2020",Spring 2020,Unknown,Unknown,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2131.0,524,272984,1089,47209,132920,6900
Dragon Quest: Dai no Daibouken (2020),7.08,"Action, Adventure, Fantasy, Shounen",TV,Unknown,"Oct 3, 2020 to ?",Fall 2020,"TV Tokyo, Square Enix, Shueisha",Unknown,Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older,3277.0,2528,40668,3061,22988,5,3087
World Trigger 2nd Season,8.09,"Action, Sci-Fi, Supernatural, School, Shounen",TV,13,"Jan 10, 2021 to ?",Winter 2021,TV Asahi,Unknown,Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,432.0,2123,55547,362,20985,11,314
Kemono Jihen,7.56,"Action, Mystery, Demons, Supernatural, Shounen",TV,12,"Jan 10, 2021 to ?",Winter 2021,"Frontier Works, Lantis, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, JTB Next Creation",Funimation,Ajia-Do,Manga,23 min. per ep.,R - 17+ (violence & profanity),1389.0,1133,130520,1208,79849,19,2101
Yuukoku no Moriarty,7.97,"Mystery, Historical, Psychological, Shounen",TV,11,"Oct 11, 2020 to Dec 20, 2020",Fall 2020,"Mainichi Broadcasting System, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, Bandai Spirits",Funimation,Production I.G,Manga,23 min. per ep.,R - 17+ (violence & profanity),572.0,1089,135996,1364,22129,51925,3218
Azur Lane: Bisoku Zenshin!,7.0,"Military, Sci-Fi, Slice of Life, Comedy",TV,12,"Jan 12, 2021 to ?",Winter 2021,Delfi Sound,Unknown,"Yostar Pictures, CANDY BOX",4-koma manga,8 min. per ep.,PG-13 - Teens 13 or older,3623.0,3718,19547,112,9442,5,368
Bungou to Alchemist: Shinpan no Haguruma,6.33,"Action, Adventure, Fantasy",TV,13,"Apr 4, 2020 to Aug 8, 2020",Spring 2020,Unknown,Funimation,OLM,Game,24 min. per ep.,PG-13 - Teens 13 or older,6723.0,2913,31176,137,5275,5778,4873
Beastars 2nd Season,8.06,"Slice of Life, Psychological, Drama, Shounen",TV,Unknown,"Jan 7, 2021 to ?",Winter 2021,"Movic, Fuji TV, Bandai, Toho, BS Fuji, Q-Tec, Akita Shoten, Hakuhodo DY Media Partners, Bandai Spirits",Unknown,Orange,Manga,22 min.,R - 17+ (violence & profanity),465.0,851,176946,883,74413,10,918
Marumaru Manul,6.51,Comedy,TV,Unknown,"Jan 6, 2020 to ?",Winter 2020,Unknown,Unknown,Kachidoki Studio,Digital manga,1 min.,Unknown,15471.0,12419,452,0,61,0,92
Enen no Shouboutai: Ni no Shou,7.78,"Action, Supernatural, Shounen",TV,24,"Jul 4, 2020 to Dec 12, 2020",Summer 2020,"Mainichi Broadcasting System, DMM pictures",Funimation,David Production,Manga,24 min. per ep.,PG-13 - Teens 13 or older,860.0,388,344406,1545,100994,137992,8720
Shin Chuuka Ichiban! 2nd Season,6.63,"Comedy, Shounen",TV,Unknown,"Jan 11, 2021 to ?",Winter 2021,Kodansha,Unknown,"Production I.G, Nihon Ad Systems",Manga,24 min.,PG-13 - Teens 13 or older,5233.0,7944,2887,9,1201,1,113
Rail Romanesque,5.02,Slice of Life,TV,12,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,Unknown,Unknown,Saetta,Visual novel,3 min. per ep.,PG-13 - Teens 13 or older,10604.0,3686,19767,25,2997,6079,3233
Hortensia Saga (TV),5.54,"Action, Adventure, Magic, Fantasy",TV,12,"Jan 7, 2021 to ?",Winter 2021,Unknown,Funimation,LIDENFILMS,Game,23 min. per ep.,Unknown,9569.0,3042,28702,95,13232,9,2973
Back Arrow,5.81,"Action, Fantasy, Mecha",TV,24,"Jan 9, 2021 to ?",Winter 2021,"Aniplex, Movic, BS11, ABC Animation, Legs, Bandai Spirits",Funimation,Studio VOLN,Original,23 min. per ep.,Unknown,8809.0,3574,21131,61,9902,2,2459
Kuma Kuma Kuma Bear,7.14,"Adventure, Comedy, Fantasy",TV,12,"Oct 7, 2020 to Dec 23, 2020",Fall 2020,Nippon Columbia,Funimation,EMT Squared,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,3053.0,1816,70011,470,11606,34615,3767
Hakushon Daimaou 2020,6.51,"Comedy, Fantasy",TV,20,"Apr 11, 2020 to Sep 26, 2020",Spring 2020,Yomiuri Telecasting,Unknown,"Nippon Animation, Tatsunoko Production",Original,24 min. per ep.,G - All Ages,14225.0,11897,546,0,77,107,116
Hentatsu (TV),5.1,"Adventure, Mystery",TV,12,"Jan 4, 2020 to Mar 21, 2020",Winter 2020,Unknown,Unknown,Yaoyorozu,Original,1 min. per ep.,G - All Ages,10494.0,6980,4143,1,491,1348,588
Higurashi no Naku Koro ni Gou,7.03,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",TV,24,"Oct 1, 2020 to ?",Fall 2020,"Frontier Works, Infinite",Funimation,Passione,Visual novel,23 min. per ep.,R - 17+ (violence & profanity),3542.0,932,160008,696,69524,19,9687
Tomica Kizuna Gattai: Earth Granner,5.49,"Action, Adventure, Mecha, Sci-Fi",TV,Unknown,"Apr 5, 2020 to ?",Spring 2020,Unknown,Unknown,OLM,Other,24 min.,PG - Children,9712.0,10759,884,1,196,1,195
Digimon Adventure:,6.77,"Action, Adventure, Comedy, Fantasy, Kids",TV,66,"Apr 5, 2020 to ?",Spring 2020,"Yomiko Advertising, Fuji TV",Unknown,Toei Animation,Other,23 min. per ep.,PG - Children,4580.0,2514,41152,194,21700,5,4293
Log Horizon: Entaku Houkai,7.28,"Action, Game, Adventure, Magic, Fantasy",TV,12,"Jan 13, 2021 to ?",Winter 2021,Unknown,Funimation,Studio Deen,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,2419.0,1086,137295,543,50174,13,1319
Fugou Keiji: Balance:Unlimited,7.56,"Mystery, Comedy, Police",TV,11,"Apr 10, 2020 to Sep 25, 2020",Spring 2020,"Aniplex, Dentsu, Animax, Movic, Fuji TV, Sonilude",Aniplex of America,CloverWorks,Novel,23 min. per ep.,PG-13 - Teens 13 or older,1381.0,674,220520,2010,45585,92334,8007
Love Live! Sunshine!! Photo Session,5.95,Comedy,Movie,10,"Jan 4, 2019",Unknown,Unknown,Unknown,Unknown,Original,4 min. per ep.,PG-13 - Teens 13 or older,8388.0,9720,1407,1,63,382,43
"Annyeong, Tyrano: Yeong-wonhi, Hamkke",6.51,"Adventure, Kids",Movie,1,"Aug 14, 2019",Unknown,Media Castle,Unknown,Tezuka Productions,Picture book,1 hr. 48 min.,G - All Ages,13297.0,13837,271,0,10,24,20
Kouya no Kotobuki Hikoutai Kanzenban,6.51,"Action, Military, Adventure",Movie,1,"Sep 11, 2020",Unknown,Bandai Namco Arts,Unknown,Unknown,Original,Unknown,PG-13 - Teens 13 or older,15179.0,8998,1886,4,59,48,29
Uzaki-chan wa Asobitai!,7.05,"Slice of Life, Comedy, Romance, Ecchi",TV,12,"Jul 10, 2020 to Sep 25, 2020",Summer 2020,"Movic, AT-X, Enterbrain, Sammy, ABC Animation, Kadokawa Media House, Kadokawa, INCS toenter, IMAGICA Lab.",Funimation,ENGI,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3441.0,628,232181,1012,34329,126485,13951
Bessatsu Olympia Kyklos,7.02,"Slice of Life, Comedy, Historical, Sports, Seinen",TV,24,"Apr 20, 2020 to Nov 3, 2020",Spring 2020,Unknown,Unknown,Gosay Studio,Manga,5 min. per ep.,PG-13 - Teens 13 or older,3578.0,4459,12603,47,2878,3171,1245
Cardfight!! Vanguard Gaiden: If,6.41,"Action, Game, Adventure, Comedy, Parody, Demons",TV,25,"May 30, 2020 to Nov 28, 2020",Spring 2020,Unknown,Unknown,OLM,Original,24 min. per ep.,PG-13 - Teens 13 or older,6362.0,8912,1932,13,292,471,179
Tokyo 7th Sisters: Bokura wa Aozora ni Naru,6.51,"Music, Slice of Life, Comedy, School",Movie,1,"Feb 26, 2021",Unknown,Toei Animation,Unknown,LandQ studios,Game,1 hr. 10 min.,PG-13 - Teens 13 or older,12554.0,9522,1538,4,17,4,3
Kami-tachi ni Hirowareta Otoko,6.86,"Adventure, Slice of Life, Magic, Fantasy",TV,12,"Oct 4, 2020 to Dec 20, 2020",Fall 2020,"Lantis, Toei Video, KlockWorx, Nikkatsu, Asmik Ace, Hobby Japan, AMG MUSIC, BS Fuji, Hakuhodo DY Music & Pictures, Amusement Media Academy, Exa International, Bandai Namco Arts",Funimation,Maho Film,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,4193.0,1585,85100,443,14743,46547,4763
