Name,Score,Genres,English name,Type,Month Aired,Year Aired,Duracion_min,Episodes,Premiered,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.89,"['Comedy', 'Drama', 'Harem', 'Romance', 'School']",Kakyusei 2,TV,Oct,2004,24,13,Fall,Arms,Visual novel,PG,8559.0,6442,5069,7,277,1718,285
Kidou Shinsengumi Moeyo Ken TV,6.19,"['Adventure', 'Comedy', 'Historical', 'Fantasy']",Moeyo Ken TV,TV,Jul,2005,25,13,Summer,Trinet Entertainment,Game,PG,7408.0,6523,4887,2,242,2134,334
Majo no Takkyuubin,8.24,"['Adventure', 'Comedy', 'Drama', 'Magic', 'Romance', 'Fantasy']",Kiki's Delivery Service,Movie,Jul,1989,105,1,Summer,Studio Ghibli,Novel,G,271.0,350,377814,3695,3931,323535,512
Tenkuu no Shiro Laputa,8.31,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",Castle in the Sky,Movie,Aug,1986,125,1,Summer,Studio Ghibli,Original,PG,220.0,405,335428,3090,3702,279056,633
Cossette no Shouzou,6.85,"['Drama', 'Horror', 'Magic', 'Psychological', 'Romance', 'Supernatural']",Le Portrait de Petit Cossette,OVA,Apr,2004,36,3,Spring,Daume,Original,R,4238.0,2022,59463,378,1827,31015,1887
Hajimari no Boukensha-tachi: Legend of Crystania,6.06,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Supernatural']",Legend of Crystania:The Motion Picture,Movie,Jul,1995,80,1,Summer,Triangle Staff,Unknown,PG,7989.0,6829,4391,6,118,2509,84
Keroro Gunsou,7.7,"['Comedy', 'Mecha', 'Parody', 'Sci-Fi', 'Shounen']",Sgt. Frog,TV,Apr,2004,23,358,Spring,Sunrise,Manga,PG,1030.0,2012,59646,1061,7200,20350,8722
School Rumble: Ichi Gakki Hoshuu,7.75,"['Comedy', 'Romance', 'School', 'Shounen']",School Rumble: Ichi Gakki Hoshuu,OVA,Dec,2005,25,2,Winter,Studio Comet,Manga,PG,914.0,2194,52587,130,679,42272,311
Mahou no Princess Minky Momo,6.74,"['Magic', 'Shoujo']",Magical Princess Minky Momo,TV,Mar,1982,23,63,Spring,Production Reed,Original,G,4716.0,6164,5625,20,301,1871,346
Mahoraba: Heartful days,7.34,"['Comedy', 'Drama', 'Romance', 'Shounen']",Mahoraba: Heartful days,TV,Jan,2005,23,26,Winter,J.C.Staff,Manga,PG,2162.0,3486,22090,103,926,12201,962
Marmalade Boy Movie,7.35,"['Romance', 'Shoujo']",Marmalade Boy Movie,Movie,Mar,1995,30,1,Spring,Unknown,Unknown,PG,2137.0,5198,8609,31,130,5666,79
Mermaid Melody Pichi Pichi Pitch,7.04,"['Adventure', 'Music', 'Comedy', 'Magic', 'Romance', 'Shoujo']",Mermaid Melody:Pichi Pichi Pitch,TV,Apr,2003,24,52,Spring,"Actas, SynergySP",Manga,PG,3499.0,2024,59222,850,2294,42456,3990
Metropolis,7.54,"['Adventure', 'Drama', 'Police', 'Romance', 'Sci-Fi', 'Shounen']",Metropolis,Movie,May,2001,109,1,Spring,Madhouse,Manga,PG,1455.0,1693,78587,499,1477,46558,470
Tonari no Totoro,8.31,"['Adventure', 'Comedy', 'Supernatural']",My Neighbor Totoro,Movie,Apr,1988,86,1,Spring,Studio Ghibli,Original,G,220.0,121,721786,6751,7968,620070,1109
Onegai☆Twins: Natsu wa Owaranai,7.04,"['Comedy', 'Drama', 'Romance']",Onegai☆Twins: Natsu wa Owaranai,OVA,Apr,2004,25,1,Spring,Daume,Original,R,3477.0,3132,27381,11,272,23281,129
Otogizoushi,6.98,"['Adventure', 'Drama', 'Fantasy', 'Historical']",Otogi Zoshi:The Legend of Magatama,TV,Jul,2004,23,26,Summer,Production I.G,Original,PG,3711.0,4143,15131,45,801,4203,940
Boku no Chikyuu wo Mamotte,7.17,"['Drama', 'Sci-Fi', 'Shoujo']",Please Save My Earth,OVA,Dec,1993,30,6,Winter,Production I.G,Manga,PG,2898.0,4345,13536,108,442,5705,322
Pokemon,7.34,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",Pokémon,TV,Apr,1997,24,276,Spring,OLM,Game,PG,2144.0,277,464779,4940,30707,339007,47875
Pokemon Movie 01: Mewtwo no Gyakushuu,7.63,"['Action', 'Adventure', 'Comedy', 'Kids', 'Drama', 'Fantasy']",Pokemon:The First Movie,Movie,Jul,1998,85,1,Summer,OLM,Game,PG,1184.0,761,195228,336,1061,190089,283
Saishuu Heiki Kanojo,7.18,"['Drama', 'Military', 'Romance', 'School', 'Sci-Fi']","She, The Ultimate Weapon",TV,Jul,2002,24,13,Summer,Gonzo,Manga,R,2866.0,1616,83111,563,3027,40458,3764
Bishoujo Senshi Sailor Moon,7.68,"['Demons', 'Magic', 'Romance', 'Shoujo']",Sailor Moon,TV,Mar,1992,24,46,Spring,Toei Animation,Manga,PG,1070.0,514,278409,9310,22531,178544,13393
Bishoujo Senshi Sailor Moon R: The Movie,7.7,"['Drama', 'Magic', 'Romance', 'Shoujo']",Sailor Moon R:The Movie - The Promise of the Rose,Movie,Dec,1993,61,1,Winter,Toei Animation,Manga,PG,1016.0,2215,51971,240,539,44550,250
Bishoujo Senshi Sailor Moon S,7.85,"['Drama', 'Magic', 'Romance', 'Shoujo']",Sailor Moon S,TV,Mar,1994,24,38,Spring,Toei Animation,Manga,PG,736.0,1274,112366,1428,3727,88683,1650
Sensei no Ojikan: Doki Doki School Hours,6.69,"['Comedy', 'Slice of Life']",Teacher's Time,TV,Apr,2004,23,13,Spring,J.C.Staff,4-koma manga,PG,4940.0,5618,7161,16,323,3230,514
Slayers,7.76,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy']",Slayers,TV,Apr,1995,22,26,Spring,E&G Films,Light novel,PG,905.0,1241,116837,1948,5370,68326,4375
Slayers Next,8.04,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy']",Slayers Next,TV,Apr,1996,24,26,Spring,E&G Films,Light novel,PG,494.0,2018,59438,833,1653,45116,881
Slayers: The Motion Picture,7.3,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",Slayers:The Motion Picture,Movie,Jul,1995,66,1,Summer,J.C.Staff,Light novel,PG,2348.0,3560,21089,32,233,16928,111
Tekken,5.27,"['Action', 'Sci-Fi', 'Adventure', 'Martial Arts']",Tekken:The Motion Picture,OVA,Jan,1998,28,2,Winter,Studio Deen,Game,R,10177.0,4350,13411,30,167,11202,123
Shin Tenchi Muyou!,6.87,"['Comedy', 'Harem', 'Romance', 'Sci-Fi', 'Shounen']",Tenchi in Tokyo,TV,Apr,1997,23,26,Spring,AIC,Original,PG,4151.0,2912,31185,105,917,21544,1245
Tenchi Muyou! Ryououki,7.66,"['Action', 'Comedy', 'Sci-Fi', 'Shounen', 'Space']",Tenchi Muyo! Ryo-Ohki,OVA,Sep,1992,29,6,Fall,AIC,Original,R,1140.0,2482,41899,535,1529,28062,625
Tenchi Muyou! Ryououki 2nd Season,7.66,"['Action', 'Comedy', 'Harem', 'Sci-Fi', 'Shounen', 'Space']",Tenchi Muyo! Ryo-Ohki,OVA,Sep,1994,33,6,Fall,AIC,Original,R,1142.0,3340,23891,84,615,19053,228
Tenchi Muyou! Ryououki 3rd Season,7.32,"['Action', 'Comedy', 'Harem', 'Sci-Fi', 'Shounen', 'Space']",Tenchi Muyou! Ryououki 3rd Season,OVA,Sep,2003,30,6,Fall,AIC,Original,R,2271.0,3872,17697,47,440,13159,273
Vampire Hunter D (2000),7.89,"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']",Vampire Hunter D:Bloodlust,Movie,Aug,2000,102,1,Summer,Madhouse,Light novel,R,690.0,1174,126368,1407,2449,90735,529
Venus Senki,6.78,"['Action', 'Sci-Fi', 'Adventure', 'Space']",Venus Wars,Movie,Mar,1989,103,1,Spring,Triangle Staff,Manga,PG,4554.0,4798,10579,39,268,5578,79
Mousou Kagaku Series: Wandaba Style,6.03,"['Comedy', 'Sci-Fi']",Mousou Kagaku Series:Wandaba Style,TV,Apr,2003,24,12,Spring,TNK,Original,PG,8112.0,7869,2929,3,137,1139,269
Wind: A Breath of Heart (TV),6.0,"['Drama', 'Romance', 'School', 'Supernatural']",Wind: A Breath of Heart (TV),TV,Jun,2004,12,13,Summer,Radix,Visual novel,PG,8243.0,4861,10151,7,405,4901,433
Wind: A Breath of Heart OVA,6.24,"['Romance', 'Supernatural', 'School', 'Drama']",Wind: A Breath of Heart OVA,OVA,Jun,2004,29,3,Summer,Unknown,Visual novel,PG,7153.0,8136,2620,1,71,1545,74
Wonderful Days,7.04,"['Action', 'Drama', 'Romance', 'Sci-Fi']",Sky Blue,Movie,Jul,2003,83,1,Summer,Unknown,Original,PG,3515.0,2903,31319,76,651,18676,327
Yu☆Gi☆Oh!,7.21,"['Action', 'Game', 'Comedy', 'Fantasy', 'Shounen']",Yu☆Gi☆Oh!,TV,Apr,1998,24,27,Spring,Toei Animation,Manga,PG,2727.0,831,180785,1097,6366,143794,7391
Grappler Baki: Saidai Tournament-hen,7.45,"['Action', 'Martial Arts', 'Shounen', 'Sports']",Grappler Baki: Saidai Tournament-hen,TV,Jul,2001,24,24,Summer,Group TAC,Manga,R,1738.0,2402,44368,189,1706,34036,652
Digimon Adventure,7.79,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",Digimon:Digital Monsters,TV,Mar,1999,24,54,Spring,Toei Animation,Other,PG,839.0,419,325137,4907,8591,283580,8276
Yami no Matsuei,7.07,"['Comedy', 'Drama', 'Fantasy', 'Horror', 'Magic', 'Shoujo', 'Shounen Ai', 'Vampire']",Descendants of Darkness,TV,Oct,2000,23,13,Fall,J.C.Staff,Manga,R,3347.0,2313,47815,446,1885,28199,2166
Koutetsu Tenshi Kurumi,6.79,"['Adventure', 'Comedy', 'Drama', 'Historical', 'Mecha', 'Military', 'Romance', 'Shounen']",Steel Angel Kurumi,TV,Oct,1999,15,24,Fall,"OLM, Production Reed",Original,R,4500.0,3558,21063,73,865,12154,1178
Koutetsu Tenshi Kurumi 2,6.3,"['Comedy', 'Mecha', 'Romance', 'Sci-Fi', 'Shoujo Ai', 'Shounen']",Steel Angel Kurumi 2,TV,Apr,2001,15,12,Spring,OLM,Original,R,6899.0,4826,10473,8,235,6791,474
Koutetsu Tenshi Kurumi Zero,6.11,"['Drama', 'Romance', 'Sci-Fi']",Koutetsu Tenshi Kurumi Zero,OVA,Apr,2001,15,3,Spring,OLM,Original,PG,7792.0,6575,4815,7,108,2971,120
Koutetsu Tenshi Kurumi Encore,6.7,"['Comedy', 'Historical', 'Romance', 'Sci-Fi', 'Shounen']",Steel Angel Kurumi Encore,OVA,Jul,2000,15,4,Summer,OLM,Original,PG,4897.0,5982,6078,7,130,4334,100
Major S2,8.25,"['Comedy', 'Drama', 'Shounen', 'Sports']",Major S2,TV,Dec,2005,25,26,Winter,Studio Hibari,Manga,PG,263.0,2041,58350,308,1067,49941,513
RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,6.35,"['Sci-Fi', 'Psychological', 'Drama']",RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,OVA,Aug,2003,15,1,Summer,Bones,Original,PG,6647.0,5817,6560,3,115,4045,78
Soukyuu no Fafner: Right of Left - Single Program,7.4,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Soukyuu no Fafner: Right of Left - Single Program,Special,Dec,2005,51,1,Winter,"Production I.G, Xebec",Original,PG,1911.0,4392,13177,25,360,6955,167
Sakura Taisen,6.88,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",Sakura Wars,TV,Apr,2000,24,25,Spring,Madhouse,Game,PG,4124.0,3708,19448,49,1020,8002,1141
Sakura Taisen: Le Nouveau Paris,6.44,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",Sakura Wars:The New Paris,OVA,Oct,2004,31,3,Fall,Radix,Game,PG,6211.0,8404,2398,1,69,1146,56
DNA²,6.68,"['Sci-Fi', 'Comedy', 'Romance']",DNA²,TV,Oct,1994,23,12,Fall,"Madhouse, Studio Deen",Manga,PG,5008.0,2688,36148,93,1191,23067,1560
Puni Puni☆Poemii,6.56,"['Comedy', 'Magic', 'Sci-Fi', 'Shounen']",Puni Puni Poemy,OVA,Mar,2001,30,2,Spring,J.C.Staff,Original,R,5580.0,3023,29034,98,495,20922,451
Steamboy,7.35,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Historical', 'Drama']",Steamboy,Movie,Jul,2004,126,1,Summer,"Studio 4°C, Sunrise",Original,PG,2108.0,1875,65769,137,993,44740,346
Tetsuwan Birdy,7.11,"['Action', 'Comedy', 'Sci-Fi', 'Shounen']",Birdy the Mighty,OVA,Jul,1996,33,4,Summer,Madhouse,Manga,PG,3151.0,3282,24973,64,906,11635,411
The Big O,7.53,"['Action', 'Sci-Fi', 'Mystery', 'Psychological', 'Mecha']",The Big O,TV,Oct,1999,24,26,Fall,Sunrise,Original,PG,1496.0,1738,75574,816,3433,38174,3112
Bubblegum Crisis Tokyo 2040,7.1,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",Bubblegum Crisis Tokyo 2040,TV,Oct,1998,24,26,Fall,AIC,Original,R,3190.0,2940,30766,176,1346,16087,1486
Musekinin Kanchou Tylor,7.87,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']",The Irresponsible Captain Tylor,TV,Jan,1993,23,26,Winter,Tatsunoko Production,Light novel,PG,720.0,2609,38239,475,2101,15038,1229
Jin-Rou,7.79,"['Military', 'Police', 'Psychological', 'Drama', 'Romance']",Jin-Roh:The Wolf Brigade,Movie,Jun,2000,102,1,Summer,Production I.G,Manga,R,846.0,1181,124856,1359,3005,72439,612
Moldiver,6.07,"['Action', 'Sci-Fi', 'Romance', 'Mecha']",Moldiver,OVA,Feb,1993,29,6,Winter,AIC,Original,PG,7966.0,7944,2859,7,116,1353,152
Kaze no Tani no Nausicaä,8.4,"['Adventure', 'Fantasy']",Nausicaä of the Valley of the Wind,Movie,Mar,1984,117,1,Spring,Topcraft,Manga,PG,155.0,513,278500,3949,3082,224406,786
Saber Marionette J,7.35,"['Action', 'Adventure', 'Comedy', 'Drama', 'Harem', 'Martial Arts', 'Mecha', 'Romance', 'Sci-Fi', 'Shounen']",Saber Marionette J,TV,Oct,1996,25,25,Fall,Studio Junio,Original,PG,2100.0,3192,26429,186,1087,15997,1164
Rean no Tsubasa,5.74,"['Sci-Fi', 'Fantasy', 'Mecha']",The Wings of Rean,ONA,Dec,2005,24,6,Winter,Sunrise,Novel,PG,9033.0,7617,3255,1,141,1273,191
Magikano,6.38,"['Comedy', 'Fantasy', 'Harem', 'Magic', 'Romance', 'Shounen']",Magikano,TV,Jan,2006,24,13,Winter,Tokyo Kids,Manga,PG,6503.0,2940,30647,52,1238,19265,1388
Kagi Hime Monogatari: Eikyuu Alice Rondo,6.21,"['Fantasy', 'Magic']",Eternal Alice,TV,Jan,2006,24,13,Winter,"Trinet Entertainment, Picture Magic",Manga,PG,7303.0,5547,7335,20,353,2859,544
Hotaru no Haka,8.51,"['Drama', 'Historical']",Grave of the Fireflies,Movie,Apr,1988,88,1,Spring,Studio Ghibli,Novel,PG,99.0,293,438214,5407,5927,328347,1249
Battle Programmer Shirase,6.94,"['Comedy', 'Ecchi', 'Sci-Fi']",Battle Programmer Shirase,TV,Oct,2003,12,15,Fall,AIC,Original,PG,3831.0,2965,30151,102,964,18899,1223
Kogepan,6.84,['Comedy'],Scorched Bread,TV,Nov,2001,4,10,Fall,Studio Pierrot,Other,G,4283.0,6186,5589,36,128,3780,272
Honoo no Labyrinth,6.25,"['Adventure', 'Comedy', 'Ecchi', 'Samurai']",Labyrinth Of Flames,OVA,Sep,2000,33,2,Fall,Studio Fantasia,Original,R,7130.0,5227,8539,12,262,5378,150
Sexy Commando Gaiden: Sugoi yo!! Masaru-san,7.71,"['Comedy', 'Martial Arts', 'School', 'Shounen']",Sexy Commando Gaiden: Sugoi yo!! Masaru-san,TV,Jan,1998,8,48,Winter,Magic Bus,Manga,R,1007.0,4803,10554,129,709,3138,613
Noein: Mou Hitori no Kimi e,7.62,"['Sci-Fi', 'Adventure', 'Slice of Life', 'Drama']",Noein:to your other self,TV,Oct,2005,25,24,Fall,Satelight,Original,PG,1223.0,1688,78451,746,3480,31440,3188
Mimi wo Sumaseba,8.23,"['Slice of Life', 'Drama', 'Romance', 'Shoujo']",Whisper of the Heart,Movie,Jul,1995,111,1,Summer,Studio Ghibli,Manga,G,283.0,643,226626,2925,3275,166021,507
Ayakashi: Japanese Classic Horror,7.45,"['Mystery', 'Historical', 'Horror', 'Fantasy']",Ayakashi: Japanese Classic Horror,TV,Jan,2006,23,11,Winter,Toei Animation,Other,R,1730.0,2078,56994,236,2233,24984,1687
Hanbun no Tsuki ga Noboru Sora,7.52,"['Comedy', 'Drama', 'Romance']",Looking Up At The Half-Moon,TV,Jan,2006,24,6,Winter,Group TAC,Light novel,PG,1516.0,1561,87853,476,2243,55246,1375
Itsudatte My Santa!,5.96,"['Ecchi', 'Fantasy', 'Romance', 'Comedy', 'Shounen']",Itsudatte My Santa!,OVA,Dec,2005,28,2,Winter,TNK,Manga,R,8360.0,4596,11800,11,216,8630,221
Ginga Nagareboshi Gin,8.04,"['Action', 'Adventure', 'Drama', 'Shounen']",Ginga Nagareboshi Gin,TV,Apr,1986,23,21,Spring,Toei Animation,Manga,PG,486.0,3568,21057,751,721,11688,569
Kage kara Mamoru!,6.62,"['Comedy', 'Romance', 'Shounen']",Guardian Ninja Mamoru,TV,Jan,2006,24,12,Winter,Group TAC,Light novel,PG,5293.0,3404,23147,26,911,14549,920
Amaenaide yo!!,6.5,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Supernatural']",Ah My Buddha,TV,Jul,2005,24,12,Summer,Studio Deen,Manga,R,5872.0,1877,65572,94,2717,42491,4613
PopoloCrois,6.93,"['Adventure', 'Fantasy']",PopoloCrois,TV,Oct,2003,23,26,Fall,TMS Entertainment,Game,PG,3875.0,9338,1639,2,62,681,155
Mugen no Ryvius,7.48,"['Drama', 'Mecha', 'Military', 'Psychological', 'Sci-Fi', 'Space']",Infinite Ryvius,TV,Oct,1999,23,26,Fall,Sunrise,Original,PG,1647.0,2666,36580,309,1654,12388,1399
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,6.76,"['Action', 'Adventure', 'Comedy', 'Shounen', 'Super Power']",Naruto:The Lost Story - Mission:Protect the Waterfall Village,Special,Dec,2003,40,1,Winter,Studio Pierrot,Manga,PG,4637.0,1762,73544,275,678,65621,321
X OVA,6.84,"['Mystery', 'Supernatural', 'Drama', 'Romance', 'Fantasy']",X:An Omen,OVA,Aug,2001,22,1,Summer,Madhouse,Manga,PG,4296.0,4702,11194,4,159,8071,113
Chobits: Chibits,7.0,"['Romance', 'Comedy']",Chobits:Chibits - Sumomo and Kotoko Deliver,Special,Jun,2003,6,1,Summer,Madhouse,Manga,PG,3627.0,2452,42840,91,341,36076,236
Neko no Ongaeshi,7.8,"['Adventure', 'Drama', 'Fantasy']",The Cat Returns,Movie,Jul,2002,75,1,Summer,Studio Ghibli,Other,G,825.0,791,188442,1045,1851,156144,329
Jinzou Ningen Kikaider The Animation,6.99,"['Action', 'Sci-Fi', 'Drama', 'Mecha', 'Shounen']",Android Kikaider,TV,Oct,2000,23,13,Fall,Radix,Unknown,PG,3667.0,5300,8230,59,243,4921,399
Yuugen Kaisha,6.48,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Magic', 'Vampire']",Phantom Quest Corp.,OVA,Aug,1994,30,4,Summer,Madhouse,Original,PG,6024.0,6785,4440,5,157,2086,105
Legend of Duo,4.93,"['Supernatural', 'Drama', 'Vampire', 'Shounen Ai']",Legend of Duo,TV,Apr,2005,5,12,Spring,"Radix, Marine Entertainment",Original,R,10650.0,4855,10199,11,306,5464,703
Nekojiru-sou,7.33,"['Comedy', 'Dementia', 'Psychological']",Cat Soup,OVA,Feb,2001,32,1,Winter,J.C.Staff,Manga,PG,2184.0,1992,60101,739,950,39335,301
KO Seiki Beast Sanjuushi,6.52,"['Adventure', 'Comedy', 'Fantasy', 'Mecha', 'Shounen', 'Supernatural']",KO Century Beast Warriors,OVA,May,1992,29,7,Spring,Gainax,Original,PG,5780.0,8612,2180,8,91,834,135
Futari wa Precure,7.0,"['Action', 'Comedy', 'Magic', 'Fantasy', 'Shoujo']",Pretty Cure,TV,Feb,2004,24,49,Winter,Toei Animation,Original,G,3631.0,2747,34825,229,2604,17643,2600
Mahou no Stage Fancy Lala,7.12,"['Music', 'Comedy', 'Drama', 'Magic', 'Romance', 'Shoujo']",Magical Stage Fancy Lala,TV,Apr,1998,24,26,Spring,Studio Pierrot,Original,G,3125.0,5016,9453,39,403,4123,528
Tenshi ni Narumon!,6.71,"['Comedy', 'Romance', 'Vampire', 'Fantasy']",I'm Gonna Be an Angel!,TV,Apr,1999,23,26,Spring,Studio Pierrot,Original,PG,4830.0,6029,5970,44,311,2065,507
Kazemakase Tsukikage Ran,7.12,"['Adventure', 'Comedy', 'Historical', 'Martial Arts', 'Samurai']",Carried by the Wind:Tsukikage Ran,TV,Jan,2000,24,13,Winter,Madhouse,Original,PG,3120.0,4395,13171,57,636,5512,481
Otogi Juushi Akazukin,6.95,"['Adventure', 'Comedy', 'Fantasy']",Fairy Musketeers,TV,Jul,2006,24,39,Summer,Madhouse,Original,PG,3791.0,6015,5980,11,339,1699,503
Sakura Taisen: Katsudou Shashin,6.45,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",Sakura Wars:The Movie,Movie,Dec,2001,85,1,Winter,Production I.G,Visual novel,PG,6142.0,6224,5529,4,118,3667,84
Saishuu Heiki Kanojo: Another Love Song,7.1,"['Drama', 'Romance', 'Sci-Fi']",Saikano:Another Love Song,OVA,Aug,2005,30,2,Summer,Studio Fantasia,Manga,R,3211.0,4045,15998,17,325,10463,205
Popotan,6.29,"['Comedy', 'Drama', 'Ecchi', 'Supernatural']",Popotan,TV,Mar,2003,24,12,Spring,Shaft,Visual novel,R,6932.0,3572,20984,53,843,10843,1650
Platonic Chain,5.67,"['Sci-Fi', 'Slice of Life']",Platonic Chain,TV,Oct,2002,6,24,Fall,Unknown,Novel,PG,9234.0,8434,2382,4,112,696,166
PetoPeto-san,6.53,"['Comedy', 'Demons', 'Romance', 'School']",PetoPeto-san,TV,Jul,2005,25,13,Summer,Xebec,Light novel,PG,5722.0,6078,5865,8,312,2502,349
Onmyou Taisenki,7.17,"['Adventure', 'Fantasy', 'Supernatural', 'Shounen']",Onmyou Taisenki,TV,Nov,2004,23,52,Fall,Sunrise,Unknown,G,2880.0,6319,5343,29,393,2069,443
Okusama wa Mahou Shoujo,6.34,"['Magic', 'Romance']",Madam is a Magical Girl,TV,Jul,2005,24,13,Summer,J.C.Staff,Original,PG,6681.0,5421,7731,8,360,2957,398
Nurse Witch Komugi-chan Magikarte,6.62,"['Comedy', 'Magic', 'Parody']",Nurse Witch Komugi-chan Magikarte,OVA,Aug,2002,24,5,Summer,"Kyoto Animation, Tatsunoko Production",Original,PG,5296.0,4281,14009,47,532,6795,538
Nurse Angel Ririka SOS,6.72,"['Drama', 'Fantasy', 'Magic', 'Shoujo']",Nurse Angel Ririka SOS,TV,Jul,1995,24,35,Summer,Gallop,Manga,PG,4810.0,7857,2943,13,184,729,225
Juubee Ninpuuchou,7.61,"['Adventure', 'Historical', 'Horror', 'Supernatural', 'Romance', 'Samurai', 'Fantasy', 'Shounen']",Ninja Scroll,Movie,Jun,1993,94,1,Summer,Madhouse,Original,R,1250.0,1382,101330,952,2067,68394,459
Juubee Ninpuuchou: Ryuuhougyoku-hen,6.7,"['Adventure', 'Horror', 'Magic', 'Martial Arts', 'Samurai', 'Shounen', 'Supernatural']",Ninja Scroll:The Series,TV,Apr,2003,24,13,Spring,Madhouse,Original,R,4899.0,2798,33722,89,1178,18870,1543
Ninja Ryuukenden,5.65,"['Action', 'Sci-Fi', 'Demons', 'Supernatural', 'Thriller']",Ninja Ryuukenden,OVA,Nov,1991,48,1,Fall,Studio Junio,Game,R,9271.0,7266,3731,5,97,2319,51
Takahashi Rumiko Gekijou Ningyo no Mori,7.06,"['Mystery', 'Horror', 'Drama', 'Fantasy']",Mermaid Forest,TV,Oct,2003,24,13,Fall,TMS Entertainment,Manga,R,3419.0,3463,22339,78,1071,9796,942
Night Walker: Mayonaka no Tantei,6.94,"['Action', 'Comedy', 'Horror', 'Mystery', 'Vampire']",Nightwalker:The Midnight Detective,TV,Jul,1998,25,12,Summer,AIC,Visual novel,R,3853.0,4006,16317,94,639,7908,690
Natsu-iro no Sunadokei,6.56,"['Drama', 'Romance', 'Sci-Fi']",Sandglass of Summer Colors,OVA,May,2004,30,2,Spring,Unknown,Visual novel,PG,5571.0,5449,7668,7,216,4261,134
Shichinin no Nana,6.72,"['Adventure', 'Comedy', 'Magic', 'Romance', 'School']",Shichinin no Nana,TV,Jan,2002,24,25,Winter,A.C.G.T.,Manga,PG,4814.0,6480,4984,17,242,1453,366
Mouse,6.04,"['Action', 'Harem', 'Comedy', 'Ecchi', 'Shounen']",Mouse,TV,Jan,2003,14,12,Winter,"Studio Deen, Studio Hibari, Production Reed",Manga,R,8061.0,3948,16810,28,790,10050,1138
Moekan The Animation,5.58,"['Comedy', 'Romance']",Moekan The Animation,OVA,Dec,2003,30,3,Winter,Unknown,Visual novel,R,9479.0,8214,2561,0,87,1266,97
Mamotte Shugogetten!,6.68,"['Comedy', 'Fantasy', 'Magic', 'Romance', 'Shounen']","Protect Me, Heavenly Moon Guardian!",TV,Oct,1998,24,22,Fall,Toei Animation,Manga,PG,4997.0,5629,7109,14,404,3065,504
Major S1,8.27,"['Comedy', 'Sports', 'Drama', 'Shounen']",Major S1,TV,Nov,2004,25,26,Fall,Studio Hibari,Manga,PG,253.0,1662,80171,1271,2712,53971,1406
Mahoutsukai Tai!,7.07,"['Sci-Fi', 'Comedy', 'Magic', 'Romance', 'Fantasy']",Magic User's Club OVA,OVA,May,1996,28,6,Spring,Production Reed,Original,PG,3367.0,5546,7354,21,228,4057,205
Mahoutsukai Tai! (TV),6.78,"['Sci-Fi', 'Comedy', 'Magic', 'Romance', 'School']",Magic User's Club,TV,Jul,1999,24,13,Summer,"Madhouse, Production Reed",Unknown,PG,4553.0,5142,8814,25,325,3914,380
Mahoromatic Summer Special,7.13,"['Ecchi', 'Romance', 'Comedy', 'Sci-Fi']",Mahoromatic Summer Special,Special,Aug,2003,23,1,Summer,"Gainax, Shaft",Manga,R,3097.0,4877,10093,3,145,7737,87
Mahoromatic End Year Special,6.93,"['Ecchi', 'Romance', 'Comedy', 'Military', 'Sci-Fi']",Mahoromatic End Year Special,Special,Dec,2001,24,1,Winter,"Gainax, Shaft",Manga,R,3906.0,6004,6016,3,108,4135,110
Legend of Basara,7.32,"['Adventure', 'Romance', 'Drama', 'Shoujo']",Legend of Basara,TV,Apr,1998,24,13,Spring,KSS,Manga,PG,2252.0,4927,9901,74,435,4276,344
Koi Kaze,7.13,"['Drama', 'Psychological', 'Romance', 'Seinen', 'Slice of Life']",Koi Kaze,TV,Apr,2004,24,13,Spring,A.C.G.T.,Manga,R,3100.0,1803,71263,469,2862,31030,2760
Juubee-chan: Lovely Gantai no Himitsu,6.67,"['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen']",Jubei-chan the Ninja Girl:Secret of the Lovely Eyepatch,TV,Apr,1999,25,13,Spring,Madhouse,Original,PG,5060.0,4092,15652,31,566,8592,962
